rsquare,key,vr1x,vr2ax,vr2bx,v3ax,vr3bx,vr4ax,vr4bx,vr5x,vr6ax,vr6bx,vr6cx,vr7x,cons
1,0,-0.000915925,-0.035498649,-0.03157714,-0.0251735,-0.024652228,0.126686096,0.080872357,-0.024371371,0.109408498,0.069427133,0.149378896,0.108573437,12.66204834
0.966176987,1,0.00935825,-0.027735353,-0.033631295,-0.018957019,-0.013963178,0.14204824,0.092128932,-0.01137466,0.125234485,0.079120278,0.172704101,0,12.655159
0.928678036,2,0.004751347,-0.037855864,-0.032473683,-0.032065481,-0.032812953,0.165535092,0.086840332,-0.024370864,0.146982551,0.067276835,0,0.145077467,16.45129395
0.870304108,3,0.020516545,-0.027464241,-0.035616636,-0.024850279,-0.019562483,0.196022272,0.104171395,-0.006050367,0.177818298,0.080583215,0,0,17.22901917
0.98890543,4,0.011676207,-0.033472985,-0.026078552,-0.014131553,-0.01818943,0.127767324,0.081524074,-0.020992503,0.133566737,0,0.148668408,0.113484681,11.70713806
0.952189445,5,0.024335727,-0.025012642,-0.027435213,-0.005971719,-0.00599749,0.144103527,0.093472123,-0.006826196,0.153781056,0,0.173121214,0,11.55458069
0.918996334,6,0.016932458,-0.035888791,-0.027145788,-0.021336347,-0.026516974,0.166436553,0.087461591,-0.021100283,0.170256138,0,0,0.149698377,15.501297
0.857232094,7,0.035813183,-0.024700105,-0.029322118,-0.011643358,-0.011467427,0.198326349,0.105610669,-0.001405047,0.207104802,0,0,0,16.10533142
0.971909046,8,0.005673632,-0.038816273,-0.035262764,-0.030733898,-0.030360714,0.148230672,0.087978721,-0.015832558,0,0.108584762,0.169105649,0.12157625,13.34233093
0.930148125,9,0.018474028,-0.030528098,-0.038225055,-0.024575785,-0.019128501,0.169349432,0.102014482,0.000384789,0,0.126130939,0.199009657,0,13.43253326
0.879928589,10,0.015094161,-0.04300952,-0.037868142,-0.041216046,-0.042409033,0.203294873,0.098056674,-0.012367994,0,0.122114956,0,0.170345306,18.07627869
0.801763058,11,0.03701067,-0.031713605,-0.04314661,-0.034818083,-0.02876009,0.250503778,0.12224102,0.01304879,0,0.152595878,0,0,19.38803101
0.942072868,12,0.030777335,-0.036516249,-0.026900828,-0.013204552,-0.021072581,0.158704877,0.091971636,-0.006429665,0,0,0.175666451,0.135516882,11.89377594
0.89110136,13,0.049948037,-0.026695162,-0.028745621,-0.002995327,-0.006614976,0.184708714,0.108701885,0.013721325,0,0,0.210943222,0,11.70947266
0.845710278,14,0.043919533,-0.040634364,-0.028561085,-0.021887928,-0.032473177,0.217761159,0.103112817,-0.001591754,0,0,0,0.188423634,16.61221313
0.752271652,15,0.077119172,-0.027169123,-0.031969726,-0.009151235,-0.014169432,0.27594161,0.132235408,0.030391961,0,0,0,0,17.63354492
0.998131275,16,-0.003523285,-0.03776446,-0.032886356,-0.029097497,-0.029212773,0.126717329,0.080473781,0,0.106891513,0.067813218,0.149376273,0.105425298,12.48397827
0.965777397,17,0.007981047,-0.028916344,-0.034223884,-0.020902753,-0.016272128,0.141852736,0.091785729,0,0.123824537,0.078222394,0.172383189,0,12.57062531
0.926942348,18,0.002144018,-0.040122986,-0.033784032,-0.035990506,-0.037374556,0.165571451,0.086444616,0,0.144469976,0.065665305,0,0.14193368,16.27194214
0.870202065,19,0.019772395,-0.028093368,-0.035930306,-0.025880441,-0.02078627,0.195865631,0.103977263,0,0.177016377,0.080104113,0,0,17.17935181
0.987529755,20,0.00917016,-0.035471827,-0.027320474,-0.017744333,-0.022260308,0.127773285,0.081166863,0,0.13090694,0,0.148681045,0.110666037,11.57227325
0.952046871,21,0.023403019,-0.025743246,-0.027834877,-0.007233568,-0.007443961,0.143971682,0.093256116,0,0.152735829,0,0.172924995,0,11.51111603
0.917704582,22,0.01441437,-0.037899077,-0.028394908,-0.024968937,-0.030610263,0.166450024,0.087105274,0,0.167590141,0,0,0.146872163,15.36513519
0.857226849,23,0.035618365,-0.024850711,-0.029404029,-0.011902004,-0.011764154,0.198286653,0.105563343,0,0.206877112,0,0,0,16.0953064
0.971135616,24,0.003866777,-0.04025051,-0.036064923,-0.033220232,-0.033261716,0.147927642,0.087611258,0,0,0.106938601,0.168807864,0.119319439,13.21518707
0.930147648,25,0.018524677,-0.030488744,-0.038206547,-0.024511352,-0.019051462,0.169366598,0.102030039,0,0,0.126179814,0.199030757,0,13.43572998
0.879501343,26,0.013669372,-0.04412517,-0.038491964,-0.043145239,-0.044660121,0.202985168,0.097756982,0,0,0.120811582,0,0.168516755,17.96994019
0.801319599,27,0.038801581,-0.030379206,-0.042534739,-0.032662719,-0.026173472,0.251384974,0.122844458,0,0,0.154355049,0,0,19.51792908
0.941947937,28,0.029880986,-0.037118345,-0.027281553,-0.014332369,-0.022319138,0.15851593,0.091796398,0,0,0,0.175503969,0.13450563,11.8506012
0.89055109,29,0.052219391,-0.025219426,-0.027943835,-0.000364393,-0.003655318,0.185546041,0.109357893,0,0,0,0.211873889,0,11.80071259
0.845703602,30,0.043694496,-0.040782601,-0.028655037,-0.022165358,-0.032779396,0.217700958,0.103066921,0,0,0,0,0.188161135,16.60041809
0.749983311,31,0.082451999,-0.023889735,-0.03021878,-0.003353257,-0.007653575,0.2787292,0.133940101,0,0,0,0,0,17.89173889
0.988566399,32,0.001485215,-0.034975618,-0.032388657,-0.024651527,-0.018843681,0.184323192,0,-0.023633197,0.11328572,0.070003808,0.151078224,0.113620222,13.12176514
0.951771259,33,0.012660652,-0.026725397,-0.034675807,-0.018029541,-0.006734241,0.208981514,0,-0.00983686,0.130540729,0.080308676,0.175918698,0,13.17687988
0.916432381,34,0.007402923,-0.037331611,-0.033364832,-0.031596392,-0.026676759,0.228007555,0,-0.023583233,0.151645422,0.06788671,0,0.150984049,16.98332214
0.853700638,35,0.024507105,-0.026326627,-0.036860436,-0.023935035,-0.011492439,0.273161173,0,-0.004197031,0.185032487,0.08200115,0,0,17.90042114
0.977415562,36,0.014202774,-0.032929868,-0.026851505,-0.013513312,-0.012279965,0.185888052,0,-0.020220697,0.137682319,0,0.150380611,0.118617475,12.16129303
0.937574387,37,0.027916908,-0.023947611,-0.028402373,-0.004832875,0.001459946,0.212070942,0,-0.005196601,0.159610152,0,0.176399946,0,12.06498718
0.906704903,38,0.019715101,-0.035344064,-0.027995721,-0.020766646,-0.020279706,0.229376435,0,-0.020277828,0.175171375,0,0,0.1556952,16.02720642
0.840422153,39,0.04013586,-0.023498952,-0.030473426,-0.010480404,-0.003139697,0.27661252,0,0.00055728,0.214959383,0,0,0,16.76345825
0.958729744,40,0.008549601,-0.038377613,-0.03629446,-0.030382305,-0.024245173,0.211982489,0,-0.014698252,0,0.11073941,0.171739936,0.12759912,13.86658478
0.913092613,41,0.02258116,-0.029541567,-0.039610505,-0.023813173,-0.011332795,0.245133758,0,0.002650082,0,0.12969172,0.203861713,0,14.0428009
0.865098953,42,0.01847674,-0.042610168,-0.039081454,-0.041022658,-0.035805017,0.275547266,0,-0.011045754,0,0.124807239,0,0.177991271,18.73045349
0.780618191,43,0.042540461,-0.030589506,-0.045001894,-0.034232944,-0.019674733,0.344463825,0,0.016163498,0,0.157809615,0,0,20.26800537
0.928107262,44,0.034311771,-0.036013752,-0.027809992,-0.012474202,-0.014482588,0.225654125,0,-0.005048167,0,0,0.178579926,0.142124772,12.40763855
0.872534275,45,0.055293679,-0.025532335,-0.029945791,-0.00153121,0.002084753,0.266134262,0,0.016545296,0,0,0.216531992,0,12.30003357
0.82994318,46,0.048158675,-0.040166378,-0.029627964,-0.021239713,-0.0252949,0.294216633,0,5.04E-05,0,0,0,0.196929812,17.26046753
0.729032993,47,0.084647357,-0.025794342,-0.033585101,-0.007568978,-0.003774853,0.379003286,0,0.03443101,0,0,0,0,18.50631714
0.986828804,48,-0.001055031,-0.037175834,-0.03365472,-0.028459877,-0.023294643,0.184079051,0,0,0.110826671,0.068436146,0.15106833,0.11054343,12.9466629
0.951476574,49,0.011458412,-0.027750522,-0.035185218,-0.019716099,-0.008755341,0.208596826,0,0,0.129303813,0.079528034,0.175630927,0,13.10201263
0.914828777,50,0.004867818,-0.03952834,-0.034629315,-0.03539741,-0.031118825,0.22776866,0,0,0.149194002,0.066324711,0,0.147916198,16.80718994
0.853652477,51,0.02398546,-0.026764765,-0.037076563,-0.024651244,-0.012352288,0.272952795,0,0,0.1844666,0.081666768,0,0,17.86505127
0.976153851,52,0.011777855,-0.034857929,-0.028044805,-0.016996503,-0.016226813,0.185649157,0,0,0.135103106,0,0.150386095,0.115880847,12.02929688
0.937492847,53,0.027200177,-0.024505988,-0.02870509,-0.005796023,0.000345051,0.211851001,0,0,0.158803701,0,0.176244736,0,12.03096771
0.905527592,54,0.017283961,-0.037278593,-0.029193148,-0.024260536,-0.024238586,0.229143977,0,0,0.172590375,0,0,0.15295589,15.89411926
0.8404212,55,0.040213943,-0.023438975,-0.03044112,-0.010377549,-0.003020452,0.276642084,0,0,0.215051174,0,0,0,16.76754761
0.958072186,56,0.006860558,-0.039711297,-0.037035465,-0.032692641,-0.026962936,0.211454272,0,0,0,0.109202564,0.171453595,0.125480294,13.7463913
0.913071632,57,0.022934616,-0.029269293,-0.039484352,-0.023368225,-0.010793552,0.245332003,0,0,0,0.130032063,0.204012275,0,14.06546783
0.864763737,58,0.017194659,-0.04360804,-0.039635509,-0.042746753,-0.037834227,0.275073767,0,0,0,0.12363565,0,0.176337242,18.63362122
0.779955387,59,0.044795603,-0.028927907,-0.04425469,-0.031556517,-0.016411379,0.346133232,0,0,0,0.160024047,0,0,20.43431091
0.928031445,60,0.033602446,-0.03648743,-0.028107673,-0.013361149,-0.015471578,0.225405574,0,0,0,0,0.178447962,0.141320705,12.37294769
0.871750355,61,0.05807513,-0.023742288,-0.028986663,0.001655813,0.005721383,0.267739773,0,0,0,0,0.217697263,0,12.4143219
0.82994318,62,0.048165858,-0.040161699,-0.029625013,-0.021230921,-0.025285095,0.294219732,0,0,0,0,0,0.196938276,17.260849
0.726182938,63,0.090812087,-0.022053272,-0.031622618,-0.000966065,0.003771804,0.383685827,0,0,0,0,0,0,18.81112671
0.974256516,64,0.00024461,-0.036728263,-0.033128232,-0.012487344,-0.026543081,0,0.164325833,-0.024457335,0.126438379,0.070815802,0.165498257,0.118549585,12.21665192
0.934656143,65,0.011748262,-0.028329581,-0.035615146,-0.003925789,-0.014998205,0,0.187987685,-0.010121204,0.146239042,0.081730247,0.193472147,0,12.13713074
0.886845589,66,0.007152557,-0.039897263,-0.034731895,-0.015941143,-0.036591262,0,0.200668573,-0.024509087,0.175634146,0.068902075,0,0.164030313,16.37016296
0.814474583,67,0.025960699,-0.028328523,-0.038902223,-0.004146893,-0.022073463,0,0.245332837,-0.003318088,0.217736244,0.084767759,0,0,17.21194458
0.963010788,68,0.013101906,-0.034675092,-0.027534306,-0.001112234,-0.019967854,0,0.16573,-0.021012634,0.151243806,0,0.164926291,0.123656154,11.23552704
0.920216084,69,0.027266473,-0.025527909,-0.029245108,0.009720288,-0.006782182,0,0.190833926,-0.005402416,0.17607832,0,0.19423902,0,10.98667908
