rsquare,key,vr1x,vr2ax,vr2bx,v3ax,vr3bx,vr4ax,vr4bx,vr5x,vr6ax,vr6bx,vr6cx,vr7x,cons
1,0,-0.000915927,-0.035498649,-0.03157714,-0.025173485,-0.024652228,0.126686096,0.080872357,-0.024371371,0.109408498,0.069427133,0.149378896,0.108573437,11.51387024
0.958920956,1,0.009870805,-0.030399218,-0.031981647,-0.020381719,-0.012335658,0.138935447,0.089250147,-0.011906341,0.121843874,0.080986738,0.18348515,0,11.05381775
0.935925961,2,0.003868956,-0.036299527,-0.033296585,-0.029256627,-0.030582204,0.162685156,0.096089184,-0.022627309,0.146770954,0.075902581,0,0.147733331,13.45320892
0.859862804,3,0.021521702,-0.029061213,-0.034540206,-0.023575902,-0.014352597,0.19338119,0.113866627,-0.003560271,0.178177118,0.095405698,0,0,13.36162567
0.984477043,4,0.012544326,-0.031680107,-0.025531963,-0.021499142,-0.019035265,0.129000425,0.080455482,-0.018142566,0.127114773,0,0.152655125,0.115309536,10.68612671
0.938510418,5,0.026531026,-0.025531396,-0.024891689,-0.015704066,-0.004815497,0.142592072,0.089392066,-0.003653912,0.143656492,0,0.189884782,0,10.03522491
0.91854763,6,0.018735543,-0.032145381,-0.026723564,-0.025337234,-0.02457878,0.166136622,0.096027553,-0.015766531,0.167117476,0,0,0.156101704,12.58141327
0.834393978,7,0.041785955,-0.023254201,-0.026262581,-0.018177643,-0.005526006,0.200127125,0.115144849,0.006572507,0.206528544,0,0,0,12.21907806
0.962757587,8,0.008060895,-0.037790239,-0.033699751,-0.028762773,-0.027794361,0.140806913,0.087321281,-0.014840648,0,0.09669441,0.178593159,0.119736969,12.17786407
0.914297104,9,0.0212477,-0.032408625,-0.034439445,-0.023884296,-0.014457308,0.156353235,0.097541749,0.000277517,0,0.113114417,0.220478535,0,11.72732544
0.869789124,10,0.018144995,-0.039877445,-0.036885411,-0.035616428,-0.036820203,0.193388462,0.109798729,-0.008448981,0,0.117091894,0,0.175047278,14.90090179
0.768181324,11,0.043819278,-0.031985164,-0.039481908,-0.030375451,-0.018498421,0.24006176,0.135744691,0.018871725,0,0.152469754,0,0,15.06752777
0.932048798,12,0.030251354,-0.032674044,-0.025228605,-0.024170369,-0.020203725,0.147699594,0.088284314,-0.00328381,0,0,0.190564394,0.132488847,11.09288788
0.873887062,13,0.049389213,-0.02564697,-0.024456784,-0.017805517,-0.00372432,0.166643977,0.100049853,0.015974253,0,0,0.240208626,0,10.35198212
0.828798294,14,0.046289861,-0.033807099,-0.026775867,-0.030577958,-0.028274909,0.206441641,0.112973213,0.006280553,0,0,0,0.195508361,13.74679565
0.705533028,15,0.086104631,-0.022610322,-0.026320323,-0.022812277,-0.004084703,0.265799284,0.144533515,0.043186933,0,0,0,0,13.43131256
0.997696877,16,-0.003569482,-0.037376881,-0.033765912,-0.026889101,-0.029073387,0.126442313,0.080484748,0,0.106808484,0.066811919,0.149003983,0.105520248,11.30898285
0.958385468,17,0.008405246,-0.031401545,-0.033061206,-0.021299064,-0.014698878,0.138645172,0.088941991,0,0.120382845,0.079530001,0.182825565,0,10.95833588
0.934067249,18,0.00139375,-0.038043082,-0.035326272,-0.030841276,-0.034675062,0.162380457,0.095696986,0,0.144274354,0.073461533,0,0.144811749,13.25717163
0.859819889,19,0.021069869,-0.029363215,-0.034861177,-0.023847535,-0.015058912,0.193235993,0.113748014,0,0.177678943,0.094953775,0,0,13.33040619
0.983208179,20,0.010168701,-0.033200204,-0.027348489,-0.022892863,-0.022517622,0.12875247,0.080176353,0,0.124659896,0,0.152281523,0.1128245,10.555336
0.93846035,21,0.025982469,-0.0258701,-0.025266826,-0.016015306,-0.005591936,0.142481565,0.089295566,0,0.143080592,0,0.189644217,0,10.01122284
0.917652607,22,0.016657516,-0.033466429,-0.028300658,-0.026541114,-0.02759473,0.165844917,0.095753491,0,0.164901257,0,0,0.15385735,12.46300507
0.834249496,23,0.042811126,-0.022637576,-0.025588572,-0.017621502,-0.004126038,0.200458646,0.115378082,0,0.207712054,0,0,0,12.26735687
0.961926937,24,0.006298836,-0.038911641,-0.035014421,-0.029765159,-0.030466244,0.140452266,0.08698976,0,0,0.094689727,0.177937865,0.117698491,12.04183197
0.914296627,25,0.021285504,-0.032385528,-0.034414649,-0.023863629,-0.014402144,0.156365037,0.097551346,0,0,0.113157868,0.220504522,0,11.72976685
0.86954546,26,0.017119318,-0.040512919,-0.03762877,-0.036174029,-0.03832525,0.19307816,0.109563708,0,0,0.115907252,0,0.173770905,14.81729126
0.767082691,27,0.046594411,-0.030400261,-0.037825257,-0.029012889,-0.01475016,0.241553187,0.136716843,0,0,0.155771852,0,0,15.26113129
0.93200922,28,0.029751614,-0.032950133,-0.025563806,-0.024417251,-0.020840049,0.147587776,0.088205338,0,0,0,0.190361381,0.131971121,11.06731415
0.872978687,29,0.052249968,-0.024135843,-0.022773072,-0.01645267,-0.000235621,0.167570114,0.100672662,0,0,0,0.242186904,0,10.46461487
0.828667641,30,0.047281474,-0.033279777,-0.026135966,-0.030117452,-0.027070612,0.206776261,0.113175333,0,0,0,0,0.196630836,13.80123901
0.70011282,31,0.094805419,-0.018403545,-0.02175197,-0.019221425,0.005474769,0.270656109,0.147288322,0,0,0,0,0,13.79911041
0.979019165,32,-0.001635117,-0.035792291,-0.032163084,-0.021239519,-0.019729629,0.162395716,0,-0.023298189,0.114277601,0.068943024,0.158359766,0.114252687,13.48618317
0.934335709,33,0.009701595,-0.030437663,-0.032664508,-0.015742868,-0.006160371,0.179320574,0,-0.009994864,0.128004432,0.081143379,0.195484877,0,13.20516968
0.908000469,34,0.003352085,-0.036728978,-0.034142345,-0.0248366,-0.025107652,0.208306193,0,-0.021222398,0.155400872,0.075827301,0,0.157467842,15.9460907
0.823589802,35,0.022317916,-0.029031411,-0.035686493,-0.01784113,-0.006508347,0.250770807,0,-0.000368056,0.191191435,0.09694767,0,0,16.31311035
0.964029789,36,0.0117364,-0.032001346,-0.026158988,-0.017612234,-0.014177978,0.164524674,0,-0.017119497,0.131846905,0,0.161580443,0.120922863,12.65102386
0.914369583,37,0.026397526,-0.02556406,-0.02556549,-0.011050321,0.001384388,0.183074355,0,-0.001723652,0.149890184,0,0.20194447,0,12.18267059
0.891171455,38,0.018206835,-0.032583296,-0.027579218,-0.020926878,-0.019116402,0.211755037,0,-0.014371365,0.175746679,0,0,0.165845156,15.06856537
0.798399925,39,0.042937011,-0.023136944,-0.027295858,-0.012293354,0.002552893,0.258368969,0,0.009970151,0.22022903,0,0,0,15.17368317
0.939161301,40,0.007716365,-0.038228244,-0.034445405,-0.02467905,-0.022617295,0.180226207,0,-0.013221368,0,0.09750849,0.18977952,0.126459956,14.33833313
0.886228561,41,0.021701887,-0.032574922,-0.035339296,-0.018992305,-0.00779726,0.201743126,0,0.003054045,0,0.115114331,0.235799551,0,14.11310577
0.835755348,42,0.018530622,-0.040645331,-0.038131863,-0.030977279,-0.030957609,0.248226643,0,-0.005873796,0,0.119886041,0,0.188256979,17.84721375
0.721832275,43,0.046836078,-0.032265812,-0.041379333,-0.024085656,-0.009397045,0.314143896,0,0.024757385,0,0.159663081,0,0,18.72958374
0.908698082,44,0.03009811,-0.03308022,-0.025915816,-0.020006269,-0.014907554,0.187654853,0,-0.001548468,0,0,0.202018976,0.139424086,13.26046753
0.84566164,45,0.05038482,-0.025704607,-0.025208548,-0.012679942,0.003306065,0.213489175,0,0.019115463,0,0,0.256385088,0,12.76114655
0.794465542,46,0.047403157,-0.034466565,-0.02782537,-0.025690973,-0.022040173,0.263362169,0,0.009298779,0,0,0,0.209721565,16.73451233
0.657258034,47,0.091601014,-0.022472963,-0.027727112,-0.015738338,0.006371897,0.346760511,0,0.050777733,0,0,0,0,17.20800781
0.976957798,48,-0.00416911,-0.037587285,-0.034253627,-0.022898212,-0.023979813,0.162000895,0,0,0.111770511,0.06644541,0.157961965,0.111308575,13.28082275
0.933968067,49,0.008471154,-0.031279504,-0.033569336,-0.016526863,-0.008163221,0.178960085,0,0,0.126759768,0.079919577,0.194896579,0,13.11862946
0.906413555,50,0.001031966,-0.038363576,-0.036043763,-0.026340514,-0.028968722,0.207848549,0,0,0.153027773,0.073538482,0,0.154691815,15.75215912
0.823589325,51,0.022271082,-0.029062659,-0.035719603,-0.01786986,-0.006582279,0.250749588,0,0,0.191138506,0.096900761,0,0,16.30955505
0.96292305,52,0.009497009,-0.033435166,-0.027871519,-0.018940449,-0.017480612,0.164175272,0,0,0.12951529,0,0.16119957,0.118559837,12.5209198
0.914359093,53,0.026138678,-0.025723919,-0.025742203,-0.011199594,0.001014752,0.183001518,0,0,0.149615288,0,0.201824784,0,12.17024231
0.890450001,54,0.016313687,-0.033786833,-0.029015079,-0.022036135,-0.021880522,0.211371779,0,0,0.173704624,0,0,0.16377461,14.9539032
0.798081875,55,0.04449746,-0.022200301,-0.026275635,-0.01143077,0.004703663,0.259052515,0,0,0.222069383,0,0,0,15.25595856
