rsquare,key,vr1x,vr2ax,vr2bx,v3ax,vr3bx,vr4ax,vr4bx,vr5x,vr6ax,vr6bx,vr6cx,vr7x,cons
1,0,0.078252375,0.065064013,0.074836135,0.071697831,0.074154139,-0.057598263,-0.032268941,0.13397491,-0.042411864,0.029968962,-0.053362399,0.004609678,17.75544739
0.999932766,1,0.078704298,0.065309525,0.074849665,0.071921647,0.074690402,-0.057202548,-0.031992972,0.134519219,-0.041992664,0.030389398,-0.05207777,0,17.76986694
0.992582798,2,0.07687372,0.06516993,0.075342953,0.073087633,0.07619977,-0.068821192,-0.036723375,0.133584976,-0.054252833,0.028645203,0,-0.007689197,16.55714417
0.992384911,3,0.076008976,0.064736903,0.075340629,0.072748303,0.075331628,-0.070008159,-0.037406445,0.132598162,-0.055508167,0.027838945,0,0,16.48002625
0.997375965,4,0.084130883,0.06690675,0.077633381,0.073452652,0.076743543,-0.057108074,-0.032762527,0.136904359,-0.035242528,0,-0.052530527,0.007138945,17.50563049
0.997214317,5,0.084964931,0.067330182,0.077715755,0.07384038,0.077637196,-0.056479752,-0.032342613,0.137817979,-0.034431309,0,-0.050507426,0,17.5226593
0.99020195,6,0.082517385,0.066931188,0.078011274,0.074745655,0.078646362,-0.06818527,-0.037129194,0.136393428,-0.047219098,0,0,-0.005086623,16.33596802
0.990114689,7,0.08183372,0.066608846,0.077959538,0.074487865,0.078020513,-0.068989992,-0.037577808,0.13568151,-0.048189759,0,0,0,16.28862
0.994923592,8,0.075021923,0.065844357,0.075605571,0.073065281,0.075361133,-0.062204212,-0.034219503,0.130503893,0,0.020154685,-0.063547313,0.001157619,17.16926575
0.9949193,9,0.075144351,0.065904498,0.075607061,0.073118508,0.075493813,-0.062092572,-0.034144819,0.130650282,0,0.020285606,-0.063196838,0,17.17437744
0.98388958,10,0.072154641,0.066252947,0.076514781,0.075295269,0.078359842,-0.077940524,-0.040508509,0.128796935,0,0.015043162,0,-0.015525684,15.45563507
0.98306942,11,0.070140779,0.065409362,0.0765661,0.074699283,0.076667964,-0.080831587,-0.042102247,0.126527309,0,0.012725055,0,0,15.24341583
0.993672848,12,0.079595923,0.067062378,0.077504516,0.074150145,0.077059448,-0.061301023,-0.034336209,0.133007407,0,0,-0.061729491,0.003373725,17.06192017
0.993636131,13,0.080044866,0.067263305,0.077545345,0.074327946,0.077483535,-0.060954273,-0.034117997,0.133487344,0,0,-0.060660362,0,17.07495117
0.983195305,14,0.075655401,0.06716007,0.077923119,0.076063097,0.07957238,-0.076923192,-0.040461093,0.130716205,0,0,0,-0.01350075,15.41173553
0.982563019,15,0.07338959,0.066287398,0.077776074,0.075429261,0.077905178,-0.079627872,-0.041881889,0.128439665,0,0,0,0,15.22941589
0.93687439,16,0.095892966,0.077642977,0.089526176,0.083641589,0.10153091,-0.057295591,-0.030610159,0,-0.028351977,0.046252161,-0.052026808,0.022793248,18.02017212
0.935311794,17,0.098525643,0.079134703,0.089895487,0.085011542,0.104786515,-0.055301785,-0.029189974,0,-0.025958911,0.048698157,-0.045544922,0,18.09770203
0.930266857,18,0.094509602,0.077719629,0.089989066,0.08497268,0.103459835,-0.068247199,-0.034962177,0,-0.039941996,0.044920444,0,0.010750957,16.84866333
0.929896832,19,0.095925987,0.078468025,0.090146542,0.085580707,0.104982376,-0.066551626,-0.033971369,0,-0.038004667,0.046239257,0,0,16.96148682
0.930959702,20,0.105686367,0.08095783,0.094405234,0.086798012,0.106519639,-0.056524634,-0.031327188,0,-0.016675547,0,-0.050686449,0.027367115,17.63728333
0.92869854,21,0.109510243,0.082981169,0.095166922,0.088663399,0.110791028,-0.05405578,-0.029649869,0,-0.01302214,0,-0.042734504,0,17.70672607
0.924722195,22,0.104063869,0.080940306,0.094720542,0.088008046,0.108261347,-0.067224383,-0.035550475,0,-0.0283034,0,0,0.015498139,16.50564575
0.923948288,23,0.10654223,0.082171619,0.095153511,0.089026392,0.110691011,-0.064704239,-0.034128696,0,-0.024974957,0,0,0,16.65568542
0.934727669,24,0.09341079,0.077952921,0.089792371,0.084358811,0.101871073,-0.060409307,-0.031955808,0,0,0.039351881,-0.058920324,0.020148829,17.61941528
