name,class
PATIENT_ID_NUM,character
PATIENT_TYPE,character
GENDER,character
SEXUAL_ORIENTATION,character
ETHNICITY,character
RACE,character
EMPLOYMENT_STATUS,character
FAMILY_RELATIONSHIP_TYPE,character
VA_BENEFIT_CLAIM_STATUS,character
EDUCATION_LEVEL,character
BIRTH_YEAR,integer
MARITAL_STATUS,character
NUMBER_OF_CHILDREN,integer
FACILITY_NAME,character
ACCEPTED_FLAG,character
ACCEPTED_DATE,Date
TBI_SOURCE,character
PTSD_SOURCE,character
SUBSTANCE_ABUSE_SOURCE,character
DEPRESSION_SOURCE,character
ANXIETY_SOURCE,character
SURGICAL_RECONSTRUCTION_SOURCE,character
OIF_COUNT,integer
OND_COUNT,integer
OEF_COUNT,integer
BRANCH,character
MILITARY_SERVICE_STATUS,character
CURRENT_PAY_GRADE,character
DISCHARGE_STATUS,character
STATE_CODE,character
ZIP_CODE,integer
HOME_OWNERSHIP,character
HOUSING_TYPE,character
VA_BENEFITS_INDICATOR,character
WWP_ALUMNI_INDICATOR,character
PRIMARY_ICD_DX_CODE,character
SECONDARY_ICD_DX_CODE,character
NOT_ACCEPTED_REASON,character
NOT_ACCEPTED_SPECIFY,character
OIR_COUNT,integer
OFS_COUNT,integer
