name,class
SURVEY_ID_NUM,character
SURVEY_DATE,Date
FACILITY_NAME,character
SERVICE_LINE,character
AGE,integer
GENDER,character
EDUCATION,character
EMPLOYMENT,character
RACE,character
HISPANIC_FLAG,character
BRANCH,character
SERVICE_COMPONENT,character
RANK,character
MILITARY_STATUS,character
HEAR_OF_PROGRAM,character
TWO_WEEKS_APPT,character
MISSED_APPT_FLAG,character
MISSED_APPT_FREQ,character
MISSED_APPT_REASON,character
VET_SUPPORT,character
TRUST_CLINICIAN,character
IMPROVED_FUNCTION,character
MADE_A_DIFFERENCE,character
IMPROVED_PROBLEMS,character
GAINED_SKILLS,character
OVERALL_SATISFACTION,character
UNMET_CONCERNS_FLAG,character
COMFORTABLE_TELLING_FAM,character
WORRY_ABOUT_WEAKNESS,character
OVERCOME_BARRIERS,character
RECOMMEND_PROGRAM,character
BARRIERS_TO_CARE,character
